player_id,season_id,Expected_assists_xA_,Pass_accuracy,Assists,Dribble_success,Key_passes
6a929c17-8b23-11ef-bdd6-00ff248ba4a4,2,4.95,83.3%,5,51.8%,41
6a929d97-8b23-11ef-bdd6-00ff248ba4a4,1,8.75,83.30%,11,53.10%,72
6a929f1e-8b23-11ef-bdd6-00ff248ba4a4,1,2.03,73.70%,3,39.40%,39
6a92a0a9-8b23-11ef-bdd6-00ff248ba4a4,1,1.34,73.80%,5,41.00%,32
6a92a232-8b23-11ef-bdd6-00ff248ba4a4,1,2.88,78.00%,5,59.30%,39
6a92a3d6-8b23-11ef-bdd6-00ff248ba4a4,1,2.95,81.60%,7,51.20%,28
6a92a525-8b23-11ef-bdd6-00ff248ba4a4,1,2.03,73.20%,3,46.50%,30
6a92a73e-8b23-11ef-bdd6-00ff248ba4a4,1,5.58,81.80%,10,48.60%,57
6a92aa53-8b23-11ef-bdd6-00ff248ba4a4,1,4.99,83.10%,6,54.80%,36
6a92abe5-8b23-11ef-bdd6-00ff248ba4a4,1,7.28,78.20%,9,53.30%,52
6a92b083-8b23-11ef-bdd6-00ff248ba4a4,1,5.35,89.40%,5,60.00%,53
6a92b1f3-8b23-11ef-bdd6-00ff248ba4a4,1,4.71,82.70%,3,48.90%,38
6a92b68c-8b23-11ef-bdd6-00ff248ba4a4,1,4.75,85.30%,5,54.00%,64
6a92b757-8b23-11ef-bdd6-00ff248ba4a4,1,6.72,81.90%,3,45.00%,66
