player_id,season_id,Goals_per_90,Expected_goals_xG_per_90,xG_on_target_xGOT_per_90,Penalty_goals_per_90,Non_penalty_xG_per_90,Shots_per_90,Shots_on_target_per_90,Assists_per_90,Expected_assists_xA_per_90,Pass_accuracy_per_90,Dribble_success_per_90,Touches_per_90,Touches_in_opposition_box_per_90,Aerial_duels_won_per_90,Aerial_duels_won_percentage_per_90
6a9237c4-8b23-11ef-bdd6-00ff248ba4a4,4,0.35,0.39,0.4,0,0.37,2.48,0.99,0.25,0.19,86.2%,54.1%,58.21,8.76,0.32,30.0%
6a92395a-8b23-11ef-bdd6-00ff248ba4a4,4,0.56,0.47,0.47,0.22,0.3,3.57,1.67,0,0.12,75.3%,53.1%,51.98,3.96,1.56,35.9%
6a923b90-8b23-11ef-bdd6-00ff248ba4a4,4,0.56,0.32,0.38,0.06,0.28,2.68,1.17,0.06,0.09,80.9%,40.9%,57.73,6.81,2.01,54.5%
6a923e04-8b23-11ef-bdd6-00ff248ba4a4,3,0.66,0.61,0.61,0.24,0.37,3.68,1.39,0.3,0.23,90.0%,52.0%,72.86,7.97,0.48,36.4%
6a923e04-8b23-11ef-bdd6-00ff248ba4a4,4,0.41,0.22,0.29,0,0.22,2.67,1.01,0.28,0.26,88.4%,55.6%,65.59,7.09,0.69,51.7%
6a923f9b-8b23-11ef-bdd6-00ff248ba4a4,1,0.6,0.32,0.51,0,0.32,3.3,1.51,0.25,0.22,89.10%,50.50%,72.22,6.38,0.19,26.10%
6a923f9b-8b23-11ef-bdd6-00ff248ba4a4,2,0.54,0.3,0.41,0,0.3,2.25,1.07,0.24,0.23,86.1%,56.3%,69.05,6.69,0.93,42.2%
6a923f9b-8b23-11ef-bdd6-00ff248ba4a4,3,0.38,0.41,0.39,0,0.41,2.41,0.93,0.21,0.22,87.4%,63.8%,58.99,5.91,0.21,15.6%
6a923f9b-8b23-11ef-bdd6-00ff248ba4a4,4,0.5,0.28,0.34,0,0.28,2.51,1.12,0.28,0.15,88.2%,56.7%,64.05,7.2,0.89,37.2%
6a924287-8b23-11ef-bdd6-00ff248ba4a4,2,0.82,0.41,0.67,0,0.41,2.9,1.86,0.3,0.16,79.9%,56.5%,58,6.68,1.11,32.6%
6a924287-8b23-11ef-bdd6-00ff248ba4a4,4,0.28,0.37,0.34,0,0.37,2.62,1.07,0.22,0.15,80.7%,71.1%,56.96,6.03,0.69,22.9%
6a9243f4-8b23-11ef-bdd6-00ff248ba4a4,2,0.48,0.61,0.54,0.04,0.58,3.34,1.39,0.26,0.13,81.5%,47.9%,53.77,9.46,1.95,36.6%
6a9243f4-8b23-11ef-bdd6-00ff248ba4a4,3,0.38,0.47,0.35,0.05,0.43,3.07,1.2,0.38,0.17,84.8%,64.8%,53.87,8.63,1.01,36.8%
6a9243f4-8b23-11ef-bdd6-00ff248ba4a4,4,0.39,0.38,0.36,0,0.38,2.4,0.7,0.17,0.1,85.0%,68.6%,49.57,6.29,0.83,26.4%
6a924604-8b23-11ef-bdd6-00ff248ba4a4,1,0.78,0.42,0.49,0,0.42,3.21,1.57,0.23,0.14,74.50%,41.70%,50.4,9,1.41,31.60%
6a924604-8b23-11ef-bdd6-00ff248ba4a4,3,0.57,0.64,0.49,0,0.64,3.41,1.25,0.15,0.13,74.9%,39.1%,45.49,7.66,1.4,30.8%
6a924604-8b23-11ef-bdd6-00ff248ba4a4,4,0.73,0.51,0.5,0,0.51,3.72,2.1,0,0.11,74.9%,48.8%,55.15,7.84,1.13,27.5%
6a92476c-8b23-11ef-bdd6-00ff248ba4a4,2,0.43,0.3,0.32,0,0.3,2.38,1.13,0.03,0.07,73.5%,33.8%,41.06,4.64,0.96,33.3%
6a92476c-8b23-11ef-bdd6-00ff248ba4a4,4,0.42,0.27,0.31,0,0.27,2.59,1.2,0.18,0.11,75.2%,44.9%,46.59,4.71,1.11,41.4%
6a9248da-8b23-11ef-bdd6-00ff248ba4a4,4,0.3,0.33,0.31,0,0.33,1.85,1.04,0.17,0.1,70.3%,56.0%,35.45,3.54,1.82,28.9%
6a924a4b-8b23-11ef-bdd6-00ff248ba4a4,2,0.24,0.16,0.2,0.05,0.07,1.17,0.53,0.11,0.14,85.3%,36.8%,68.43,0.77,1.17,45.8%
6a924a4b-8b23-11ef-bdd6-00ff248ba4a4,3,0.28,0.15,0.27,0.11,0.06,1.54,0.67,0.14,0.18,86.3%,60.0%,70.19,0.64,0.76,43.5%
6a924a4b-8b23-11ef-bdd6-00ff248ba4a4,4,0.21,0.15,0.25,0.08,0.07,1.13,0.63,0.18,0.11,86.4%,77.3%,82.79,0.61,1.24,42.0%
