player_id,season_id,Goals_per_shot,Goals_per_Shot_on_Target,Minutes_per_Goal,Total_shots,Average_SofaScore_Rating,Shots_on_target,Shots_inside_box,Shots_outside_box,Regular_play,Goals,Header,Goal_conversion_percentage,Big_chances_missed,Expected_goals_xG,Non_penalty_xG,xG_on_target_xGOT,Penalty_goals,Minutes_played
6a923b90-8b23-11ef-bdd6-00ff248ba4a4,4,0.21,0.48,0.1,48,6.87,21,39,9,39,10,0,20.83,3,5.8,5.01,6.83,1,"1,612"
6a923e04-8b23-11ef-bdd6-00ff248ba4a4,3,0.18,0.48,0.09,61,7.28,23,44,17,42,11,0,18.03,4,10.11,6.17,10.09,4,"1,491"
6a923e04-8b23-11ef-bdd6-00ff248ba4a4,4,0.16,0.41,0.11,58,7.35,22,39,19,45,9,1,15.52,5,4.71,4.71,6.27,0,"1,954"
6a923f9b-8b23-11ef-bdd6-00ff248ba4a4,1,0.18,0.4,0.11,105,7.79,48,59,46,81,19,1,18.1,7,10.34,10.34,16.35,0,"2,865"
6a923f9b-8b23-11ef-bdd6-00ff248ba4a4,2,0.24,0.5,0.09,46,7.22,22,35,11,37,11,0,23.91,3,6.17,6.17,8.36,0,"1,843"
6a923f9b-8b23-11ef-bdd6-00ff248ba4a4,3,0.16,0.41,0.22,57,7.3,22,46,11,46,9,0,15.79,8,9.67,9.67,9.27,0,"2,133"
6a923f9b-8b23-11ef-bdd6-00ff248ba4a4,4,0.2,0.45,0.11,45,7.2,20,38,7,35,9,0,20,4,5,5,6.08,0,"1,613"
6a924287-8b23-11ef-bdd6-00ff248ba4a4,2,0.28,0.44,0.09,39,7.11,25,35,4,24,11,2,28.21,6,5.47,5.47,8.99,0,"1,212"
6a924287-8b23-11ef-bdd6-00ff248ba4a4,4,0.11,0.26,0.22,83,7.1,34,65,18,65,9,3,10.84,13,11.71,11.71,10.78,0,"2,849"
6a9243f4-8b23-11ef-bdd6-00ff248ba4a4,2,0.14,0.34,0.18,77,7.07,32,73,4,60,11,4,14.29,16,14.11,13.32,12.36,1,"2,074"
6a9243f4-8b23-11ef-bdd6-00ff248ba4a4,3,0.13,0.32,0.12,64,7.18,25,55,9,50,8,1,12.5,7,9.82,9.04,7.28,1,"1,878"
6a9243f4-8b23-11ef-bdd6-00ff248ba4a4,4,0.16,0.56,0.22,55,7.04,16,44,11,42,9,1,16.36,5,8.73,8.73,8.31,0,"2,059"
6a924604-8b23-11ef-bdd6-00ff248ba4a4,1,0.24,0.5,0.1,41,7.26,20,38,3,29,10,1,24.39,3,5.32,5.32,6.31,0,"1,150"
6a924604-8b23-11ef-bdd6-00ff248ba4a4,3,0.17,0.45,0.13,90,7.05,33,79,11,70,15,4,16.67,14,16.97,16.97,12.9,0,"2,372"
6a924604-8b23-11ef-bdd6-00ff248ba4a4,4,0.2,0.35,0.11,46,6.95,26,38,8,39,9,3,19.57,7,6.36,6.36,6.16,0,"1,113"
6a92476c-8b23-11ef-bdd6-00ff248ba4a4,2,0.18,0.38,0.15,72,6.67,34,56,16,57,13,0,18.06,8,8.94,8.94,9.76,0,"2,718"
6a92476c-8b23-11ef-bdd6-00ff248ba4a4,4,0.16,0.35,0.11,56,6.86,26,40,16,48,9,0,16.07,5,5.89,5.89,6.75,0,"1,949"
6a9248da-8b23-11ef-bdd6-00ff248ba4a4,4,0.16,0.29,0.22,55,6.86,31,43,12,41,9,0,16.36,17,9.85,9.85,9.34,0,"2,673"
6a924a4b-8b23-11ef-bdd6-00ff248ba4a4,2,0.2,0.45,0.33,44,7.23,20,34,10,18,9,1,20.45,2,5.9,2.74,7.47,2,"3,372"
6a924a4b-8b23-11ef-bdd6-00ff248ba4a4,3,0.18,0.42,0.3,55,7.27,24,48,7,25,10,0,18.18,0,5.37,2.21,9.53,4,"3,217"
6a924a4b-8b23-11ef-bdd6-00ff248ba4a4,4,0.19,0.33,0.38,43,7.25,24,33,10,19,8,0,18.6,1,5.73,2.58,9.38,3,"3,420"
6a924bd2-8b23-11ef-bdd6-00ff248ba4a4,2,0.12,0.34,0.2,85,7.33,29,46,39,62,10,0,11.76,6,8.69,7.11,8.44,1,"2,484"
6a924bd2-8b23-11ef-bdd6-00ff248ba4a4,3,0.17,0.35,0.17,72,7.32,34,41,31,52,12,0,16.67,2,7.71,7.71,9.77,0,"2,466"
6a924bd2-8b23-11ef-bdd6-00ff248ba4a4,4,0.11,0.35,0.25,75,7.22,23,54,21,59,8,0,10.67,0,3.81,3.81,3.72,0,"2,103"
6a924d43-8b23-11ef-bdd6-00ff248ba4a4,3,0.19,0.47,0.25,43,6.67,17,31,12,31,8,0,18.6,1,4.36,4.36,5.7,0,"2,648"
6a924d43-8b23-11ef-bdd6-00ff248ba4a4,4,0.18,0.42,0.25,45,6.96,19,36,9,36,8,0,17.78,6,5.88,5.88,6.18,0,"2,855"
6a924f23-8b23-11ef-bdd6-00ff248ba4a4,4,0.17,0.42,0.38,48,6.94,19,29,19,43,8,1,16.67,2,4.25,4.25,6.3,0,"3,410"
6a9250a9-8b23-11ef-bdd6-00ff248ba4a4,1,0.19,0.43,0.19,84,7.14,37,67,17,60,16,5,19.05,13,11.91,11.91,15.97,0,"3,020"
6a9250a9-8b23-11ef-bdd6-00ff248ba4a4,3,0.15,0.35,0.17,79,7.09,34,63,16,63,12,2,15.19,13,11.95,11.95,11.36,0,"2,987"
6a9250a9-8b23-11ef-bdd6-00ff248ba4a4,4,0.15,0.5,0.25,55,6.88,16,40,15,43,8,0,14.55,7,7.09,7.09,5.8,0,"2,576"
6a925219-8b23-11ef-bdd6-00ff248ba4a4,3,0.16,0.42,0.11,110,7.26,43,88,22,80,18,2,16.36,13,17.75,15.38,14.17,3,"2,458"
6a925385-8b23-11ef-bdd6-00ff248ba4a4,2,0.11,0.33,0.29,65,7.78,21,49,16,53,7,0,10.77,3,5.6,5.6,5.39,0,"2,425"
6a925385-8b23-11ef-bdd6-00ff248ba4a4,3,0.19,0.48,0.13,78,7.78,31,40,38,68,15,0,19.23,0,5.78,5.78,7.64,0,"2,205"
6a925565-8b23-11ef-bdd6-00ff248ba4a4,2,0.21,0.48,0.1,94,7.25,42,70,24,51,20,2,21.28,16,18.74,13.22,19.64,6,"2,953"
