player_id,season_id,Touches,Touches_in_opposition_box,Aerial_duels_won,Aerial_duels_won_percentage
6a9265fd-8b23-11ef-bdd6-00ff248ba4a4,3,"1,753",86,23,37.1%
6a926771-8b23-11ef-bdd6-00ff248ba4a4,3,533,102,51,51.5%
6a9268dc-8b23-11ef-bdd6-00ff248ba4a4,3,"1,205",90,10,34.5%
6a926a45-8b23-11ef-bdd6-00ff248ba4a4,1,"1,371",191,105,50.00%
6a926a45-8b23-11ef-bdd6-00ff248ba4a4,3,"1,021",134,37,41.6%
6a926ba5-8b23-11ef-bdd6-00ff248ba4a4,3,940,120,21,26.9%
6a926d12-8b23-11ef-bdd6-00ff248ba4a4,1,"4,116",85,55,70.50%
6a926d12-8b23-11ef-bdd6-00ff248ba4a4,3,"3,246",59,85,72.0%
6a926e8a-8b23-11ef-bdd6-00ff248ba4a4,1,"2,463",188,3,25.00%
6a926e8a-8b23-11ef-bdd6-00ff248ba4a4,2,"2,229",132,14,41.2%
6a926e8a-8b23-11ef-bdd6-00ff248ba4a4,3,"1,970",65,15,39.5%
6a926ff9-8b23-11ef-bdd6-00ff248ba4a4,1,697,195,39,47.60%
6a926ff9-8b23-11ef-bdd6-00ff248ba4a4,2,830,227,50,50.0%
6a927162-8b23-11ef-bdd6-00ff248ba4a4,2,"1,638",242,15,19.0%
6a9272cf-8b23-11ef-bdd6-00ff248ba4a4,2,934,154,100,48.3%
6a927431-8b23-11ef-bdd6-00ff248ba4a4,2,"1,128",20,15,48.4%
6a92759b-8b23-11ef-bdd6-00ff248ba4a4,2,"1,395",146,6,37.5%
6a927701-8b23-11ef-bdd6-00ff248ba4a4,2,"2,321",66,25,61.0%
6a928752-8b23-11ef-bdd6-00ff248ba4a4,1,"1,442",113,12,33.30%
6a928752-8b23-11ef-bdd6-00ff248ba4a4,2,"1,699",96,19,37.3%
6a928971-8b23-11ef-bdd6-00ff248ba4a4,1,803,154,10,20.00%
6a928971-8b23-11ef-bdd6-00ff248ba4a4,2,650,106,23,45.1%
6a928b5d-8b23-11ef-bdd6-00ff248ba4a4,2,491,57,20,24.7%
6a928c76-8b23-11ef-bdd6-00ff248ba4a4,2,"2,671",106,10,21.7%
6a928dd1-8b23-11ef-bdd6-00ff248ba4a4,1,"1,143",115,23,33.80%
6a928dd1-8b23-11ef-bdd6-00ff248ba4a4,2,"1,451",132,35,35.4%
6a928f57-8b23-11ef-bdd6-00ff248ba4a4,1,838,204,34,38.20%
6a928f57-8b23-11ef-bdd6-00ff248ba4a4,2,691,157,36,41.4%
6a9290f5-8b23-11ef-bdd6-00ff248ba4a4,1,"1,632",156,5,17.20%
6a9290f5-8b23-11ef-bdd6-00ff248ba4a4,2,721,97,8,25.8%
6a92927c-8b23-11ef-bdd6-00ff248ba4a4,2,881,120,18,27.3%
6a929457-8b23-11ef-bdd6-00ff248ba4a4,2,"1,799",145,30,44.1%
6a9295f5-8b23-11ef-bdd6-00ff248ba4a4,2,"1,501",71,14,43.8%
6a92977b-8b23-11ef-bdd6-00ff248ba4a4,1,909,115,32,53.30%
6a92977b-8b23-11ef-bdd6-00ff248ba4a4,2,670,82,26,52.0%
6a929904-8b23-11ef-bdd6-00ff248ba4a4,2,"1,980",111,37,55.2%
6a929a8d-8b23-11ef-bdd6-00ff248ba4a4,2,"1,512",70,52,59.8%
6a929c17-8b23-11ef-bdd6-00ff248ba4a4,2,"1,421",197,18,48.6%
6a929d97-8b23-11ef-bdd6-00ff248ba4a4,1,"1,893",140,1,20.00%
6a929f1e-8b23-11ef-bdd6-00ff248ba4a4,1,"1,224",239,98,41.90%
6a92a0a9-8b23-11ef-bdd6-00ff248ba4a4,1,845,107,50,42.40%
6a92a232-8b23-11ef-bdd6-00ff248ba4a4,1,"1,142",168,35,35.70%
6a92a3d6-8b23-11ef-bdd6-00ff248ba4a4,1,"1,377",128,16,25.40%
6a92a525-8b23-11ef-bdd6-00ff248ba4a4,1,836,128,38,43.70%
6a92a5b5-8b23-11ef-bdd6-00ff248ba4a4,1,880,118,7,13.70%
6a92a73e-8b23-11ef-bdd6-00ff248ba4a4,1,"1,573",170,9,33.30%
6a92a8bd-8b23-11ef-bdd6-00ff248ba4a4,1,"1,193",144,134,43.80%
6a92aa53-8b23-11ef-bdd6-00ff248ba4a4,1,"1,078",84,7,31.80%
6a92abe5-8b23-11ef-bdd6-00ff248ba4a4,1,"1,159",140,15,38.50%
6a92ad68-8b23-11ef-bdd6-00ff248ba4a4,1,685,104,25,27.50%
6a92aefc-8b23-11ef-bdd6-00ff248ba4a4,1,528,87,43,48.30%
6a92b083-8b23-11ef-bdd6-00ff248ba4a4,1,"2,455",41,25,56.80%
6a92b1f3-8b23-11ef-bdd6-00ff248ba4a4,1,"1,346",198,41,64.10%
6a92b354-8b23-11ef-bdd6-00ff248ba4a4,1,533,126,75,40.50%
6a92b68c-8b23-11ef-bdd6-00ff248ba4a4,1,"1,620",234,27,35.10%
6a92b757-8b23-11ef-bdd6-00ff248ba4a4,1,"1,779",250,7,31.80%
